Temperature,H+,"H2,aq","CO2,aq",NH4+,log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),pka1,pka2,Affinity (tot),,pH
300,-10.14359,-0.71921,-3.1763,-12.22858,23.5673,49.19948,-14.06461354,21.2841,59.34307,-20.88330781,14.1159,69.48666,-30.38244663,2.2832,7.1683,-30.3810473,,10.1436
300,-10.14359,-0.71921,-3.1763,-12.22858,23.5673,49.19948,-14.06461354,21.2841,59.34307,-20.88330781,14.1159,69.48666,-30.38244663,2.2832,7.1683,-30.3810473,,10.1436
300,-10.14359,-0.71921,-3.1763,-12.22858,23.5673,49.19948,-14.06461354,21.2841,59.34307,-20.88330781,14.1159,69.48666,-30.38244663,2.2832,7.1683,-30.3810473,,10.1436
300,-10.14359,-0.71921,-3.1763,-12.22858,23.5673,49.19948,-14.06461354,21.2841,59.34307,-20.88330781,14.1159,69.48666,-30.38244663,2.2832,7.1683,-30.3810473,,10.1436
299.999,-10.14359,-0.71921,-3.17631,-12.22857,23.5677,49.19956,-14.06441342,21.2844,59.34315,-20.88315066,14.1162,69.48674,-30.38227291,2.2832,7.1683,-30.38087358,,10.1436
299.997,-10.14358,-0.71921,-3.17634,-12.22855,23.5683,49.19981,-14.06417229,21.2851,59.34339,-20.88282539,14.1168,69.48697,-30.38196387,2.2832,7.1682,-30.38056486,,10.1436
299.991,-10.14356,-0.71921,-3.17642,-12.22848,23.5702,49.20046,-14.06333918,21.287,59.34402,-20.88190992,14.1188,69.48758,-30.38088312,2.2832,7.1682,-30.37948414,,10.1436
299.973,-10.1435,-0.7192,-3.17667,-12.22827,23.5761,49.2023,-14.06066986,21.2929,59.3458,-20.87899353,14.1247,69.4893,-30.37763549,2.2832,7.1681,-30.37623687,,10.1435
299.913,-10.14331,-0.71918,-3.17746,-12.22758,23.5955,49.20832,-14.05185724,21.3123,59.35163,-20.86936287,14.1444,69.49494,-30.36674158,2.2832,7.1678,-30.36534412,,10.1433
299.725,-10.1427,-0.71913,-3.17997,-12.22541,23.6563,49.22774,-14.02455267,21.3731,59.37044,-20.83948718,14.2062,69.51314,-30.33286718,2.2832,7.1669,-30.33147319,,10.1427
299.133,-10.14081,-0.71897,-3.18791,-12.21857,23.8478,49.28916,-13.93879179,21.5647,59.42997,-20.74559358,14.4007,69.57078,-30.22653892,2.2831,7.1639,-30.22515635,,10.1408
297.277,-10.13511,-0.71845,-3.21302,-12.19719,24.4481,49.48337,-13.67181949,22.1652,59.61848,-20.45332379,15.0104,69.75359,-29.89538407,2.2829,7.1548,-29.89403572,,10.1351
291.57,-10.11977,-0.71689,-3.29237,-12.13179,26.2951,50.10092,-12.87034761,24.0119,60.22069,-19.57587321,16.8841,70.34046,-28.90057706,2.2832,7.1278,-28.89932571,,10.1198
275,-10.0929,-0.71244,-3.54031,-11.94549,31.6876,52.05708,-10.68939986,29.3994,62.14998,-17.18669526,22.3382,72.24288,-26.18874314,2.2881,7.0612,-26.18770682,,10.0929
258.839,-10.08997,-0.70822,-3.80631,-11.76967,37.0282,54.19086,-8.741001885,34.7348,64.28083,-15.0478949,27.7168,74.3708,-23.76104298,2.2935,7.0179,-23.7601351,,10.09
233.93,-10.12726,-0.70193,-4.2622,-11.51286,45.5057,57.91126,-6.022361453,43.21,68.03852,-12.05316985,36.2119,78.16578,-20.36678955,2.2957,6.9981,-20.3659619,,10.1273
175.149,-10.41788,-0.68904,-5.57937,-11.00244,67.2818,68.99757,-0.7363779958,65.0118,79.41545,-6.181790635,57.8426,89.83333,-13.72985286,2.2699,7.1692,-13.72873864,,10.4179
162.5,-10.52173,-0.68677,-5.91405,-10.91448,72.3882,71.87633,0.2134869623,70.1276,82.39806,-5.117672908,62.882,92.91979,-12.52793979,2.2606,7.2457,-12.52663525,,10.5217
99.958,-11.30421,-0.67895,-7.91234,-10.60426,100.5551,89.39432,3.986603751,98.3499,100.69853,-0.8389249825,90.4832,112.00274,-7.686727888,2.2053,7.8666,-7.68169483,,11.3042
91.07,-11.4623,-0.67898,-8.26261,-10.56987,105.0261,92.51296,4.363189305,102.8282,103.97526,-0.3999667489,94.8354,115.43756,-7.183738388,2.1979,7.9928,-7.177072711,,11.4623
50,-12.34842,-0.67937,-9.95576,-10.50936,127.5464,107.6986,6.140312831,125.3667,120.04702,1.645749119,116.6379,132.39544,-4.874909313,2.1798,8.7287,-4.840181908,,12.3484
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Deep rock,Activity (pH = 11) Low C and Low H,,,,Phenylalanine+,,,Phenylalanine,,,Phenylalanine,,,,,,,
Temperature,H+,"H2,aq","CO2,aq",NH4+,log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),pka1,pka2,Affinity (tot),,
°C,,,,,,,,,,,,,,,,,,
300,-10.14359,-0.71921,-3.1763,-12.22858,23.5673,49.19948,-14.06461354,21.2841,59.34307,-20.88330781,14.1159,69.48666,-30.38244663,2.2832,7.1683,-29.95957576,,10.1436
300,-10.14359,-0.71921,-3.1763,-12.22858,23.5673,49.19948,-14.06461354,21.2841,59.34307,-20.88330781,14.1159,69.48666,-30.38244663,2.2832,7.1683,-29.95957576,,10.1436
300,-10.14359,-0.71921,-3.1763,-12.22858,23.5673,49.19948,-14.06461354,21.2841,59.34307,-20.88330781,14.1159,69.48666,-30.38244663,2.2832,7.1683,-29.95957576,,10.1436
300,-10.14359,-0.71921,-3.17631,-12.22858,23.5673,49.19957,-14.06466293,21.2841,59.34316,-20.8833572,14.1159,69.48675,-30.38249602,2.2832,7.1683,-29.95962515,,10.1436
